session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_184117,9.390000,16,1.846891,1.846891,0.639881,0.114445,0.683843,0.288042,0.307385,0.900717,0.341267,0.089152,0.319761,0.278810,0.027067,0.097081,0.278810,0.186454,0.748269,0.249180,0.997583,0.786037
hp_blink_20260617_184117,10.468000,16,1.496184,1.496184,0.156120,0.227164,0.533549,0.227508,0.279144,0.938645,0.297390,0.206297,0.783427,0.263327,0.188980,0.781196,0.241911,0.011270,0.678874,0.016601,0.997583,0.786037
hp_blink_20260617_184117,11.609000,16,1.723693,1.723693,0.104494,0.657080,0.948995,0.345348,0.437801,0.957263,0.457346,0.457578,0.952515,0.480390,0.430691,0.896544,0.480390,0.000000,0.000000,0.339740,0.997583,0.786037
hp_blink_20260617_184117,12.828000,16,1.331431,1.331431,0.074564,0.309563,0.540109,0.224556,0.074816,0.911271,0.082101,0.090908,0.908508,0.100062,0.143065,0.894208,0.159991,0.009726,0.539801,0.018019,0.997583,0.786037
hp_blink_20260617_184117,17.406000,16,1.497153,-1.497153,1.063219,0.373125,1.142349,0.538448,0.000000,0.000000,2.141577,0.000000,0.000000,0.788889,0.000000,0.000000,0.473110,0.000000,0.000000,0.140294,0.997583,0.786037
hp_blink_20260617_190655,4.297000,16,0.285972,0.285972,0.059873,0.588125,0.581620,0.308787,0.006540,0.862234,0.007585,0.035105,0.848872,0.041355,0.039051,0.859479,0.045435,0.039675,0.402044,0.098684,0.106593,0.460166
hp_blink_20260617_190655,4.688000,16,0.242270,0.242270,0.060077,0.035012,0.604656,0.303327,0.053234,0.873340,0.060954,0.011139,0.898775,0.012394,0.010972,0.885294,0.012394,0.011430,0.201766,0.056652,0.106593,0.460166
hp_blink_20260617_190655,5.125000,16,0.215779,0.215779,0.061242,0.519213,0.604656,0.249869,0.164353,0.845348,0.194421,0.134008,0.867808,0.154422,0.089697,0.861147,0.104160,0.054655,0.681073,0.080248,0.106593,0.460166
hp_blink_20260617_190655,5.953000,16,1.035957,1.035957,0.284241,0.595512,1.540305,0.325756,0.245966,0.448564,0.548341,0.182943,0.604565,0.302602,0.166922,0.464919,0.359036,0.000000,0.000000,0.062323,0.106593,0.460166
hp_blink_20260617_190655,7.156000,16,0.481519,0.481519,0.212115,0.291550,1.621136,0.746219,0.082966,0.616778,0.134515,0.000277,0.509268,0.000544,0.023952,0.541635,0.044222,0.000000,0.000000,0.151478,0.106593,0.460166
hp_blink_20260617_190655,8.281000,16,0.726154,0.726154,0.097104,0.020823,0.619432,0.364105,0.471096,0.814990,0.578039,0.374917,0.770731,0.486443,0.362719,0.794181,0.456721,0.089734,0.516583,0.173707,0.106593,0.460166
hp_blink_20260617_190655,9.313000,16,0.660355,0.660355,0.057440,0.002586,0.492506,0.211811,0.317512,0.866764,0.366319,0.341977,0.859081,0.398074,0.366911,0.865314,0.424020,0.067437,0.422973,0.159435,0.106593,0.460166
hp_blink_20260617_190655,10.109000,16,0.541208,0.541208,0.064290,0.067575,0.437501,0.236455,0.271896,0.772003,0.352195,0.305230,0.816635,0.373765,0.316808,0.846545,0.374237,0.073593,0.812485,0.090577,0.106593,0.460166
hp_blink_20260617_190655,10.594000,16,0.704360,0.704360,0.216162,0.587308,1.259425,0.386093,0.064520,0.136750,0.471813,0.141427,0.382431,0.369811,0.177162,0.479060,0.369811,0.000000,0.000000,0.218046,0.106593,0.460166
hp_blink_20260617_190655,10.938000,16,0.852964,0.852964,0.364445,1.253927,1.260186,0.669605,0.000000,0.000000,0.459932,0.000871,0.002261,0.385130,0.044897,0.116219,0.386313,0.000000,0.000000,0.523455,0.106593,0.460166
hp_blink_20260617_190655,11.406000,16,2.183144,2.183144,1.416134,0.769599,1.678558,0.687527,0.000000,0.000000,0.169046,0.000000,0.000000,0.004890,0.000000,0.000000,0.222789,0.000000,0.000000,0.157516,0.106593,0.460166
