session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_184117,9.390000,16,1.846891,1.846891,0.639881,0.433304,0.488846,0.232475,0.307385,0.900717,0.341267,0.089152,0.319761,0.278810,0.027067,0.097081,0.278810,0.010408,0.764047,0.013622,0.997583,0.786037
hp_blink_20260617_184117,10.468000,16,1.496184,1.496184,0.156120,0.121639,0.429337,0.202685,0.279144,0.938645,0.297390,0.206297,0.783427,0.263327,0.188980,0.781196,0.241911,0.049436,0.695427,0.071088,0.997583,0.786037
hp_blink_20260617_184117,11.609000,16,1.723693,1.723693,0.104494,0.345578,0.694426,0.271353,0.437801,0.957263,0.457346,0.457578,0.952515,0.480390,0.430691,0.896544,0.480390,0.013215,0.224488,0.058866,0.997583,0.786037
hp_blink_20260617_184117,12.828000,16,1.331431,1.331431,0.074564,0.195531,0.324312,0.177750,0.074816,0.911271,0.082101,0.090908,0.908508,0.100062,0.143065,0.894208,0.159991,0.012624,0.184271,0.068509,0.997583,0.786037
hp_blink_20260617_184117,17.406000,16,1.497153,-1.497153,1.063219,0.429462,1.396629,0.535995,0.000000,0.000000,2.141577,0.000000,0.000000,0.788889,0.000000,0.000000,0.473110,0.000000,0.000000,0.133317,0.997583,0.786037
hp_blink_20260617_190655,4.297000,16,0.285972,0.285972,0.059873,0.090980,0.303730,0.136639,0.006540,0.862234,0.007585,0.035105,0.848872,0.041355,0.039051,0.859479,0.045435,0.003494,0.857214,0.004076,0.106593,0.460166
hp_blink_20260617_190655,4.688000,16,0.242270,0.242270,0.060077,1.348989,0.396069,0.160273,0.053234,0.873340,0.060954,0.011139,0.898775,0.012394,0.010972,0.885294,0.012394,0.010912,0.777585,0.014034,0.106593,0.460166
hp_blink_20260617_190655,5.125000,16,0.215779,0.215779,0.061242,1.411911,0.404933,0.195537,0.164353,0.845348,0.194421,0.134008,0.867808,0.154422,0.089697,0.861147,0.104160,0.049620,0.807569,0.061444,0.106593,0.460166
hp_blink_20260617_190655,5.953000,16,1.035957,1.035957,0.284241,1.443686,1.016320,0.236048,0.245966,0.448564,0.548341,0.182943,0.604565,0.302602,0.166922,0.464919,0.359036,0.000000,0.000000,0.042290,0.106593,0.460166
hp_blink_20260617_190655,7.156000,16,0.481519,0.481519,0.212115,0.358347,1.218489,0.545458,0.082966,0.616778,0.134515,0.000277,0.509268,0.000544,0.023952,0.541635,0.044222,0.000000,0.000000,0.055718,0.106593,0.460166
