session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_184117,9.390000,16,1.437754,1.437754,0.216562,0.114445,0.683843,0.288042,0.279921,0.894065,0.313087,0.133447,0.700679,0.190454,0.213776,0.709103,0.301474,0.186454,0.748269,0.249180,1.077672,0.772713
hp_blink_20260617_184117,10.468000,16,1.723782,1.723782,0.186122,0.227164,0.533549,0.227508,0.155560,0.715872,0.217302,0.149791,0.689322,0.217302,0.134400,0.733473,0.183238,0.011270,0.678874,0.016601,1.077672,0.772713
hp_blink_20260617_184117,11.609000,16,1.901195,1.901195,0.086271,0.657080,0.948995,0.345348,0.393903,0.910435,0.432654,0.427125,0.908493,0.470147,0.501488,0.877803,0.571299,0.000000,0.000000,0.339740,1.077672,0.772713
hp_blink_20260617_184117,12.828000,16,2.484148,2.484148,0.634485,0.309563,0.540109,0.224556,0.027441,0.020814,1.318390,0.000000,0.000000,0.133921,0.011993,0.089551,0.133921,0.009726,0.539801,0.018019,1.077672,0.772713
hp_blink_20260617_184117,17.406000,16,1.756492,-1.756492,1.162101,0.373125,1.142349,0.538448,0.000000,0.000000,2.221665,0.000000,0.000000,2.213918,0.000000,0.000000,0.822399,0.000000,0.000000,0.140294,1.077672,0.772713
hp_blink_20260617_190655,4.297000,16,0.628683,0.628683,0.220206,0.588125,0.581620,0.308787,0.055819,0.357106,0.156309,0.081898,0.523950,0.156309,0.069526,0.599784,0.115918,0.039675,0.402044,0.098684,0.055748,0.541489
hp_blink_20260617_190655,4.688000,16,0.624875,0.624875,0.224736,0.035012,0.604656,0.303327,0.289668,0.635683,0.455679,0.296599,0.687247,0.431575,0.148171,0.549466,0.269663,0.011430,0.201766,0.056652,0.055748,0.541489
hp_blink_20260617_190655,5.125000,16,0.599249,0.599249,0.161595,0.519213,0.604656,0.249869,0.313291,0.876026,0.357628,0.316903,0.861367,0.367906,0.290559,0.683316,0.425219,0.054655,0.681073,0.080248,0.055748,0.541489
hp_blink_20260617_190655,5.953000,16,1.035957,1.035957,0.159397,0.595512,1.540305,0.325756,0.284202,0.474313,0.599185,0.220873,0.624911,0.353447,0.284194,0.690415,0.411628,0.000000,0.000000,0.062323,0.055748,0.541489
hp_blink_20260617_190655,7.156000,16,0.764602,0.764602,0.256508,0.291550,1.621136,0.746219,0.036396,0.603259,0.060332,0.250261,0.672833,0.371950,0.271505,0.639448,0.424592,0.000000,0.000000,0.151478,0.055748,0.541489
